match_day,standing,team,games,wins,draws,losses,scored,missed,points,home_wins,home_draws,home_losses,home_scored,home_missed,home_points,away_wins,away_draws,away_losses,away_scored,away_missed,away_points
1,1,16,1,1,0,0,4,0,3,1,0,0,4,0,3,0,0,0,0,0,0
1,2,17,1,1,0,0,4,1,3,0,0,0,0,0,0,1,0,0,4,1,3
1,3,2,1,1,0,0,3,1,3,0,0,0,0,0,0,1,0,0,3,1,3
1,4,9,1,1,0,0,2,0,3,1,0,0,2,0,3,0,0,0,0,0,0
1,5,29,1,1,0,0,2,0,3,1,0,0,2,0,3,0,0,0,0,0,0
1,6,12,1,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,3
1,7,15,1,1,0,0,1,0,3,1,0,0,1,0,3,0,0,0,0,0,0
1,8,23,1,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,3
1,9,27,1,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,3
1,10,11,1,0,1,0,2,2,1,0,0,0,0,0,0,0,1,0,2,2,1
1,11,19,1,0,1,0,2,2,1,0,1,0,2,2,1,0,0,0,0,0,0
1,12,10,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,13,24,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,14,25,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,15,28,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,16,1,1,0,0,1,1,3,0,0,0,1,1,3,0,0,0,0,0,0,0
1,17,8,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0
1,18,13,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0
1,19,26,1,0,0,1,1,4,0,0,0,1,1,4,0,0,0,0,0,0,0
1,20,18,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,4,0

2,1,15,2,2,0,0,2,0,6,1,0,0,1,0,3,1,0,0,1,0,3
2,2,27,2,2,0,0,2,0,6,1,0,0,1,0,3,1,0,0,1,0,3
2,3,17,2,1,1,0,4,1,4,0,1,0,0,0,1,1,0,0,4,1,3
2,4,9,2,1,1,0,2,0,4,1,0,0,2,0,3,0,1,0,0,0,1
2,5,29,2,1,1,0,2,0,4,1,0,0,2,0,3,0,1,0,0,0,1
2,6,23,2,1,1,0,2,1,4,0,1,0,1,1,1,1,0,0,1,0,3
2,7,16,2,1,0,1,6,3,3,1,0,0,4,0,3,0,0,1,2,3,0
2,8,2,2,1,0,1,3,2,3,0,0,1,0,1,0,1,0,0,3,1,3
2,9,1,2,1,0,1,4,4,3,0,0,1,1,3,0,1,0,0,3,1,3
2,10,24,2,1,0,1,2,2,3,1,0,0,2,1,3,0,0,1,0,1,0
2,11,8,2,1,0,1,3,4,3,1,0,0,3,2,3,0,0,1,0,2,0
2,12,12,2,1,0,1,2,3,3,0,0,1,1,3,0,1,0,0,1,0,3
2,13,13,2,1,0,1,1,2,3,1,0,0,1,0,3,0,0,1,0,2,0
2,14,11,2,0,2,0,2,2,2,0,1,0,0,0,1,0,1,0,2,2,1
2,15,19,2,0,1,1,2,3,1,0,1,0,2,2,1,0,0,1,0,1,0
2,16,25,2,0,1,1,1,2,1,0,0,1,0,1,0,0,1,0,1,1,1
2,17,28,2,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1
2,18,18,2,0,1,1,0,4,1,0,1,0,0,0,1,0,0,1,0,4,0
2,19,10,2,0,0,2,1,3,0,0,0,1,0,1,0,0,0,1,1,2,0
2,20,26,2,0,0,2,1,5,0,0,0,1,1,4,0,0,0,1,0,1,0

3,1,15,3,3,0,0,3,0,9,2,0,0,2,0,6,1,0,0,1,0,3
3,2,9,3,2,1,0,4,1,7,2,0,0,4,1,6,0,1,0,0,0,1
3,3,16,3,2,0,1,8,3,6,2,0,0,6,0,6,0,0,1,2,3,0
3,4,1,3,2,0,1,5,4,6,1,0,1,2,3,3,1,0,0,3,1,3
3,5,24,3,2,0,1,3,2,6,1,0,0,2,1,3,1,0,1,1,1,3
3,6,27,3,2,0,1,2,1,6,1,0,0,1,0,3,1,0,1,1,1,3
3,7,17,3,1,1,1,4,2,4,0,1,0,0,0,1,1,0,1,4,2,3
3,8,29,3,1,1,1,2,1,4,1,0,1,2,1,3,0,1,0,0,0,1
3,9,19,3,1,1,1,3,3,4,1,1,0,3,2,4,0,0,1,0,1,0
3,10,23,3,1,1,1,2,2,4,0,1,0,1,1,1,1,0,1,1,1,3
3,11,8,3,1,1,1,3,4,4,1,1,0,3,2,4,0,0,1,0,2,0
3,12,18,3,1,1,1,1,4,4,1,1,0,1,0,4,0,0,1,0,4,0
3,13,2,3,1,0,2,4,4,3,0,0,1,0,1,0,1,0,1,4,3,3
3,14,10,3,1,0,2,4,4,3,1,0,1,3,2,3,0,0,1,1,2,0
3,15,11,3,0,3,0,2,2,3,0,1,0,0,0,1,0,2,0,2,2,2
3,16,26,3,1,0,2,3,5,3,0,0,1,1,4,0,1,0,1,2,1,3
3,17,12,3,1,0,2,2,4,3,0,0,1,1,3,0,1,0,1,1,1,3
3,18,13,3,1,0,2,1,4,3,1,0,0,1,0,3,0,0,2,0,4,0
3,19,25,3,0,1,2,2,5,1,0,0,1,0,1,0,0,1,1,2,4,1
3,20,28,3,0,1,2,0,3,1,0,0,2,0,3,0,0,1,0,0,0,1

4,1,15,4,3,1,0,5,2,10,2,0,0,2,0,6,1,1,0,3,2,4
4,2,1,4,3,0,1,8,5,9,1,0,1,2,3,3,2,0,0,6,2,6
4,3,27,4,3,0,1,4,1,9,2,0,0,3,0,6,1,0,1,1,1,3
4,4,16,4,2,1,1,8,3,7,2,0,0,6,0,6,0,1,1,2,3,1
4,5,17,4,2,1,1,6,2,7,1,1,0,2,0,4,1,0,1,4,2,3
4,6,9,4,2,1,1,4,2,7,2,0,0,4,1,6,0,1,1,0,1,1
4,7,24,4,2,1,1,3,2,7,1,1,0,2,1,4,1,0,1,1,1,3
4,8,18,4,2,1,1,3,5,7,1,1,0,1,0,4,1,0,1,2,5,3
4,9,11,4,1,3,0,3,2,6,1,1,0,1,0,4,0,2,0,2,2,2
4,10,29,4,1,2,1,2,1,5,1,0,1,2,1,3,0,2,0,0,0,2
4,11,23,4,1,2,1,2,2,5,0,2,0,1,1,2,1,0,1,1,1,3
4,12,8,4,1,2,1,4,5,5,1,1,0,3,2,4,0,1,1,1,3,1
4,13,26,4,1,1,2,5,7,4,0,1,1,3,6,1,1,0,1,2,1,3
4,14,12,4,1,1,2,3,5,4,0,1,1,2,4,1,1,0,1,1,1,3
4,15,19,4,1,1,2,3,5,4,1,1,0,3,2,4,0,0,2,0,3,0
4,16,13,4,1,1,2,2,5,4,1,1,0,2,1,4,0,0,2,0,4,0
4,17,2,4,1,0,3,5,6,3,0,0,2,1,3,0,1,0,1,4,3,3
4,18,10,4,1,0,3,4,6,3,1,0,1,3,2,3,0,0,2,1,4,0
4,19,28,4,0,2,2,1,4,2,0,0,2,0,3,0,0,2,0,1,1,2
4,20,25,4,0,1,3,3,8,1,0,0,2,1,4,0,0,1,1,2,4,1

5,1,1,5,4,0,1,11,6,12,2,0,1,5,4,6,2,0,0,6,2,6
5,2,27,5,4,0,1,5,1,12,2,0,0,3,0,6,2,0,1,2,1,6
5,3,16,5,3,1,1,12,4,10,3,0,0,10,1,9,0,1,1,2,3,1
5,4,9,5,3,1,1,6,2,10,3,0,0,6,1,9,0,1,1,0,1,1
5,5,15,5,3,1,1,5,3,10,2,0,1,2,1,6,1,1,0,3,2,4
5,6,11,5,2,3,0,6,4,9,1,1,0,1,0,4,1,2,0,5,4,5
5,7,23,5,2,2,1,3,2,8,0,2,0,1,1,2,2,0,1,2,1,6
5,8,17,5,2,1,2,7,6,7,1,1,0,2,0,4,1,0,2,5,6,3
5,9,26,5,2,1,2,7,7,7,0,1,1,3,6,1,2,0,1,4,1,6
5,10,24,5,2,1,2,4,5,7,1,1,0,2,1,4,1,0,2,2,4,3
5,11,13,5,2,1,2,5,7,7,1,1,0,2,1,4,1,0,2,3,6,3
5,12,18,5,2,1,2,5,8,7,1,1,1,3,3,4,1,0,1,2,5,3
5,13,2,5,2,0,3,6,6,6,0,0,2,1,3,0,2,0,1,5,3,6
5,14,28,5,1,2,2,4,4,5,1,0,2,3,3,3,0,2,0,1,1,2
5,15,29,5,1,2,2,4,4,5,1,0,2,4,4,3,0,2,0,0,0,2
5,16,8,5,1,2,2,4,6,5,1,1,1,3,3,4,0,1,1,1,3,1
5,17,19,5,1,1,3,3,6,4,1,1,1,3,3,4,0,0,2,0,3,0
5,18,12,5,1,1,3,3,7,4,0,1,1,2,4,1,1,0,2,1,3,3
5,19,10,5,1,0,4,4,8,3,1,0,2,3,4,3,0,0,2,1,4,0
5,20,25,5,0,1,4,3,11,1,0,0,2,1,4,0,0,1,2,2,7,1

6,1,1,6,5,0,1,13,7,15,2,0,1,5,4,6,3,0,0,8,3,9
6,2,15,6,4,1,1,8,4,13,2,0,1,2,1,6,2,1,0,6,3,7
6,3,27,6,4,1,1,6,2,13,2,1,0,4,1,7,2,0,1,2,1,6
6,4,11,6,3,3,0,9,6,12,2,1,0,4,2,7,1,2,0,5,4,5
6,5,9,6,3,2,1,7,3,11,3,0,0,6,1,9,0,2,1,1,2,2
6,6,23,6,3,2,1,5,2,11,1,2,0,3,1,5,2,0,1,2,1,6
6,7,16,6,3,1,2,14,7,10,3,0,0,10,1,9,0,1,2,4,6,1
6,8,13,6,3,1,2,6,7,10,2,1,0,3,1,7,1,0,2,3,6,3
6,9,2,6,3,0,3,9,8,9,1,0,2,4,5,3,2,0,1,5,3,6
6,10,28,6,2,2,2,6,5,8,1,0,2,3,3,3,1,2,0,3,2,5
6,11,8,6,2,2,2,6,7,8,1,1,1,3,3,4,1,1,1,3,4,4
6,12,17,6,2,1,3,8,8,7,1,1,1,3,2,4,1,0,2,5,6,3
6,13,26,6,2,1,3,8,9,7,0,1,2,4,8,1,2,0,1,4,1,6
6,14,19,6,2,1,3,4,6,7,1,1,1,3,3,4,1,0,2,1,3,3
6,15,24,6,2,1,3,4,6,7,1,1,1,2,2,4,1,0,2,2,4,3
6,16,18,6,2,1,3,7,11,7,1,1,1,3,3,4,1,0,2,4,8,3
6,17,29,6,1,2,3,4,5,5,1,0,2,4,4,3,0,2,1,0,1,2
6,18,12,6,1,1,4,4,9,4,0,1,2,3,6,1,1,0,2,1,3,3
6,19,10,6,1,0,5,4,10,3,1,0,2,3,4,3,0,0,3,1,6,0
6,20,25,6,0,1,5,4,14,1,0,0,3,2,7,0,0,1,2,2,7,1

7,1,1,7,5,1,1,14,8,16,2,0,1,5,4,6,3,1,0,9,4,10
7,2,15,7,5,1,1,11,5,16,3,0,1,5,2,9,2,1,0,6,3,7
7,3,9,7,4,2,1,10,4,14,3,0,0,6,1,9,1,2,1,4,3,5
7,4,23,7,4,2,1,7,2,14,2,2,0,5,1,8,2,0,1,2,1,6
7,5,16,7,4,1,2,17,8,13,4,0,0,13,2,12,0,1,2,4,6,1
7,6,27,7,4,1,2,6,5,13,2,1,1,4,4,7,2,0,1,2,1,6
7,7,11,7,3,3,1,10,9,12,2,1,0,4,2,7,1,2,1,6,7,5
7,8,13,7,3,2,2,6,7,11,2,2,0,3,1,8,1,0,2,3,6,3
7,9,17,7,3,1,3,10,9,10,1,1,1,3,2,4,2,0,2,7,7,6
7,10,2,7,3,1,3,9,8,10,1,0,2,4,5,3,2,1,1,5,3,7
7,11,18,7,3,1,3,9,12,10,1,1,1,3,3,4,2,0,2,6,9,6
7,12,28,7,2,3,2,7,6,9,1,1,2,4,4,4,1,2,0,3,2,5
7,13,29,7,2,2,3,7,5,8,1,0,2,4,4,3,1,2,1,3,1,5
7,14,8,7,2,2,3,7,9,8,1,1,2,4,5,4,1,1,1,3,4,4
7,15,26,7,2,1,4,8,11,7,0,1,2,4,8,1,2,0,2,4,3,6
7,16,24,7,2,1,4,4,7,7,1,1,1,2,2,4,1,0,3,2,5,3
7,17,12,7,2,1,4,5,9,7,1,1,2,4,6,4,1,0,2,1,3,3
7,18,19,7,2,1,4,5,9,7,1,1,2,4,6,4,1,0,2,1,3,3
7,19,10,7,1,0,6,5,13,3,1,0,2,3,4,3,0,0,4,2,9,0
7,20,25,7,0,1,6,5,16,1,0,0,4,3,9,0,0,1,2,2,7,1

8,1,1,8,6,1,1,18,9,19,3,0,1,9,5,9,3,1,0,9,4,10
8,2,9,8,5,2,1,14,5,17,4,0,0,10,2,12,1,2,1,4,3,5
8,3,15,8,5,2,1,13,7,17,3,0,1,5,2,9,2,2,0,8,5,8
8,4,16,8,5,1,2,20,9,16,4,0,0,13,2,12,1,1,2,7,7,4
8,5,27,8,5,1,2,8,5,16,2,1,1,4,4,7,3,0,1,4,1,9
8,6,23,8,4,3,1,8,3,15,2,2,0,5,1,8,2,1,1,3,2,7
8,7,11,8,4,3,1,12,10,15,3,1,0,6,3,10,1,2,1,6,7,5
8,8,17,8,3,2,3,11,10,11,1,2,1,4,3,5,2,0,2,7,7,6
8,9,13,8,3,2,3,7,9,11,2,2,0,3,1,8,1,0,3,4,8,3
8,10,18,8,3,2,3,11,14,11,1,2,1,5,5,5,2,0,2,6,9,6
8,11,26,8,3,1,4,12,11,10,1,1,2,8,8,4,2,0,2,4,3,6
8,12,28,8,2,4,2,7,6,10,1,1,2,4,4,4,1,3,0,3,2,6
8,13,2,8,3,1,4,9,10,10,1,0,3,4,7,3,2,1,1,5,3,7
8,14,12,8,3,1,4,9,10,10,1,1,2,4,6,4,2,0,2,5,4,6
8,15,29,8,2,2,4,8,8,8,1,0,3,5,7,3,1,2,1,3,1,5
8,16,24,8,2,2,4,4,7,8,1,2,1,2,2,5,1,0,3,2,5,3
8,17,8,8,2,2,4,8,13,8,1,1,2,4,5,4,1,1,2,4,8,4
8,18,19,8,2,1,5,6,13,7,1,1,2,4,6,4,1,0,3,2,7,3
8,19,10,8,1,0,7,6,17,3,1,0,3,4,8,3,0,0,4,2,9,0
8,20,25,8,0,1,7,5,20,1,0,0,4,3,9,0,0,1,3,2,11,1

9,1,1,9,7,1,1,20,9,22,3,0,1,9,5,9,4,1,0,11,4,13
9,2,9,9,6,2,1,16,6,20,5,0,0,12,3,15,1,2,1,4,3,5
9,3,15,9,6,2,1,17,8,20,4,0,1,9,3,12,2,2,0,8,5,8
9,4,27,9,6,1,2,9,5,19,3,1,1,5,4,10,3,0,1,4,1,9
9,5,23,9,5,3,1,10,3,18,3,2,0,7,1,11,2,1,1,3,2,7
9,6,11,9,5,3,1,14,10,18,3,1,0,6,3,10,2,2,1,8,7,8
9,7,16,9,5,1,3,21,11,16,4,0,0,13,2,12,1,1,3,8,9,4
9,8,17,9,4,2,3,14,12,14,2,2,1,7,5,8,2,0,2,7,7,6
9,9,26,9,3,2,4,12,11,11,1,2,2,8,8,5,2,0,2,4,3,6
9,10,13,9,3,2,4,7,10,11,2,2,0,3,1,8,1,0,4,4,9,3
9,11,18,9,3,2,4,12,16,11,1,2,1,5,5,5,2,0,3,7,11,6
9,12,28,9,2,4,3,8,10,10,1,1,2,4,4,4,1,3,1,4,6,6
9,13,2,9,3,1,5,9,12,10,1,0,4,4,9,3,2,1,1,5,3,7
9,14,12,9,3,1,5,9,12,10,1,1,2,4,6,4,2,0,3,5,6,6
9,15,29,9,2,3,4,8,8,9,1,0,3,5,7,3,1,3,1,3,1,6
9,16,8,9,2,3,4,8,13,9,1,1,2,4,5,4,1,2,2,4,8,5
9,17,24,9,2,2,5,6,10,8,1,2,1,2,2,5,1,0,4,4,8,3
9,18,19,9,2,2,5,6,13,8,1,2,2,4,6,5,1,0,3,2,7,3
9,19,25,9,1,1,7,7,21,4,1,0,4,5,10,3,0,1,3,2,11,1
9,20,10,9,1,0,8,6,19,3,1,0,4,4,10,3,0,0,4,2,9,0

10,1,1,10,8,1,1,22,9,25,4,0,1,11,5,12,4,1,0,11,4,13
10,2,9,10,6,2,2,16,8,20,5,0,0,12,3,15,1,2,2,4,5,5
10,3,15,10,6,2,2,17,10,20,4,0,1,9,3,12,2,2,1,8,7,8
10,4,27,10,6,2,2,9,5,20,3,1,1,5,4,10,3,1,1,4,1,10
10,5,16,10,6,1,3,28,11,19,5,0,0,20,2,15,1,1,3,8,9,4
10,6,23,10,5,4,1,11,4,19,3,2,0,7,1,11,2,2,1,4,3,8
10,7,11,10,5,4,1,14,10,19,3,2,0,6,3,11,2,2,1,8,7,8
10,8,17,10,5,2,3,17,13,17,2,2,1,7,5,8,3,0,2,10,8,9
10,9,18,10,4,2,4,14,16,14,2,2,1,7,5,8,2,0,3,7,11,6
10,10,13,10,4,2,4,8,10,14,3,2,0,4,1,11,1,0,4,4,9,3
10,11,28,10,3,4,3,10,10,13,2,1,2,6,4,7,1,3,1,4,6,6
10,12,8,10,3,3,4,9,13,12,2,1,2,5,5,7,1,2,2,4,8,5
10,13,26,10,3,2,5,12,12,11,1,2,2,8,8,5,2,0,3,4,4,6
10,14,2,10,3,2,5,9,12,11,1,0,4,4,9,3,2,2,1,5,3,8
10,15,29,10,2,4,4,8,8,10,1,1,3,5,7,4,1,3,1,3,1,6
10,16,12,10,3,1,6,10,15,10,1,1,3,5,9,4,2,0,3,5,6,6
10,17,24,10,2,3,5,7,11,9,1,3,1,3,3,6,1,0,4,4,8,3
10,18,19,10,2,2,6,6,20,8,1,2,2,4,6,5,1,0,4,2,14,3
10,19,25,10,1,1,8,7,22,4,1,0,4,5,10,3,0,1,4,2,12,1
10,20,10,10,1,0,9,6,21,3,1,0,4,4,10,3,0,0,5,2,11,0

11,1,1,11,8,1,2,22,10,25,4,0,1,11,5,12,4,1,1,11,5,13
11,2,15,11,7,2,2,21,10,23,5,0,1,13,3,15,2,2,1,8,7,8
11,3,23,11,6,4,1,15,5,22,4,2,0,11,2,14,2,2,1,4,3,8
11,4,9,11,6,3,2,18,10,21,5,1,0,14,5,16,1,2,2,4,5,5
11,5,17,11,6,2,3,18,13,20,3,2,1,8,5,11,3,0,2,10,8,9
11,6,11,11,5,5,1,14,10,20,3,2,0,6,3,11,2,3,1,8,7,9
11,7,27,11,6,2,3,9,6,20,3,1,2,5,5,10,3,1,1,4,1,10
11,8,16,11,6,1,4,28,12,19,5,0,0,20,2,15,1,1,4,8,10,4
11,9,18,11,5,2,4,15,16,17,2,2,1,7,5,8,3,0,3,8,11,9
11,10,28,11,3,5,3,12,12,14,2,1,2,6,4,7,1,4,1,6,8,7
11,11,2,11,4,2,5,11,12,14,2,0,4,6,9,6,2,2,1,5,3,8
11,12,13,11,4,2,5,9,14,14,3,2,0,4,1,11,1,0,5,5,13,3
11,13,26,11,3,3,5,15,15,12,1,3,2,11,11,6,2,0,3,4,4,6
11,14,8,11,3,3,5,9,15,12,2,1,2,5,5,7,1,2,3,4,10,5
11,15,19,11,3,2,6,9,21,11,2,2,2,7,7,8,1,0,4,2,14,3
11,16,29,11,2,4,5,9,11,10,1,1,3,5,7,4,1,3,2,4,4,6
11,17,24,11,2,4,5,10,14,10,1,3,1,3,3,6,1,1,4,7,11,4
11,18,12,11,3,1,7,10,19,10,1,1,3,5,9,4,2,0,4,5,10,6
11,19,25,11,2,1,8,8,22,7,2,0,4,6,10,6,0,1,4,2,12,1
11,20,10,11,1,1,9,6,21,4,1,1,4,4,10,4,0,0,5,2,11,0

12,1,1,12,9,1,2,24,10,28,5,0,1,13,5,15,4,1,1,11,5,13
12,2,15,12,7,3,2,24,13,24,5,0,1,13,3,15,2,3,1,11,10,9
12,3,9,12,7,3,2,21,10,24,5,1,0,14,5,16,2,2,2,7,5,8
12,4,16,12,7,1,4,34,12,22,6,0,0,26,2,18,1,1,4,8,10,4
12,5,23,12,6,4,2,15,7,22,4,2,0,11,2,14,2,2,2,4,5,8
12,6,17,12,6,3,3,20,15,21,3,2,1,8,5,11,3,1,2,12,10,10
12,7,11,12,5,6,1,17,13,21,3,3,0,9,6,12,2,3,1,8,7,9
12,8,18,12,6,2,4,17,17,20,3,2,1,9,6,11,3,0,3,8,11,9
12,9,27,12,6,2,4,9,12,20,3,1,2,5,5,10,3,1,2,4,7,10
12,10,26,12,4,3,5,17,16,15,1,3,2,11,11,6,3,0,3,6,5,9
12,11,28,12,3,6,3,14,14,15,2,2,2,8,6,8,1,4,1,6,8,7
12,12,2,12,4,3,5,13,14,15,2,0,4,6,9,6,2,3,1,7,5,9
12,13,13,12,4,2,6,9,15,14,3,2,1,4,2,11,1,0,5,5,13,3
12,14,24,12,3,4,5,12,14,13,2,3,1,5,3,9,1,1,4,7,11,4
12,15,8,12,3,4,5,11,17,13,2,2,2,7,7,8,1,2,3,4,10,5
12,16,19,12,3,2,7,10,23,11,2,2,2,7,7,8,1,0,5,3,16,3
12,17,29,12,2,4,6,9,14,10,1,1,4,5,10,4,1,3,2,4,4,6
12,18,12,12,3,1,8,11,21,10,1,1,4,6,11,4,2,0,4,5,10,6
12,19,10,12,2,1,9,7,21,7,1,1,4,4,10,4,1,0,5,3,11,3
12,20,25,12,2,1,9,8,24,7,2,0,4,6,10,6,0,1,5,2,14,1

13,1,1,13,10,1,2,27,10,31,5,0,1,13,5,15,5,1,1,14,5,16
13,2,9,13,8,3,2,24,11,27,6,1,0,17,6,19,2,2,2,7,5,8
13,3,16,13,8,1,4,37,12,25,7,0,0,29,2,21,1,1,4,8,10,4
13,4,15,13,7,3,3,25,16,24,5,0,1,13,3,15,2,3,2,12,13,9
