,result,t1_avg_pts_mu,t1_avg_pts_tot,t1_avg_recv_mu,t1_avg_recv_tot,t1_avg_scrd_mu,t1_avg_scrd_tot,t1_home,t1_standing,t2_avg_pts_mu,t2_avg_pts_tot,t2_avg_recv_tot,t2_avg_scrd_tot,t2_standing
0,1.0,1.0,1.2763157894736843,2.0,1.394736842105263,1.25,1.4605263157894737,1.0,8.0,1.75,2.1315789473684212,0.7236842105263158,1.894736842105263,2.0
1,1.0,3.0,2.3289473684210527,0.0,0.6052631578947368,1.0,1.9473684210526316,1.0,1.0,0.0,0.9210526315789473,1.631578947368421,1.2105263157894737,20.0
2,2.0,0.25,1.6842105263157894,2.25,0.9210526315789473,0.75,1.4473684210526316,1.0,5.0,2.5,2.039473684210526,0.8947368421052632,1.868421052631579,4.0
3,2.0,1.75,1.605263157894737,0.75,1.3026315789473684,1.5,1.644736842105263,1.0,6.0,1.0,1.118421052631579,1.263157894736842,0.8947368421052632,11.0
4,2.0,1.25,1.3026315789473684,1.75,1.4210526315789473,1.5,1.1842105263157894,1.0,15.0,1.25,1.381578947368421,1.355263157894737,1.355263157894737,10.0
5,2.0,1.75,1.0263157894736843,1.0,1.4078947368421053,1.75,1.013157894736842,1.0,13.0,1.0,0.9868421052631579,1.486842105263158,0.9210526315789473,16.0
6,2.0,1.0,1.2894736842105263,1.25,1.2763157894736843,1.0,1.131578947368421,1.0,14.0,1.75,1.1710526315789473,1.236842105263158,1.013157894736842,7.0
7,1.0,0.0,1.1842105263157894,0.0,1.4473684210526316,0.0,1.0,1.0,12.0,0.0,,,,20.0
8,2.0,0.0,,0.0,,0.0,,1.0,20.0,0.0,1.3157894736842106,1.25,1.105263157894737,9.0
9,1.0,2.0,2.210526315789474,0.0,0.6578947368421053,1.5,1.75,1.0,3.0,0.5,0.9210526315789473,1.6842105263157894,1.0263157894736843,17.0
10,2.0,0.75,1.4025974025974026,1.25,1.3376623376623376,0.5,1.3636363636363635,1.0,4.0,2.25,1.6623376623376624,0.987012987012987,1.4415584415584415,20.0
11,1.0,3.0,2.051948051948052,0.75,0.8961038961038961,2.25,1.922077922077922,1.0,1.0,0.0,1.0129870129870129,1.4025974025974026,1.0,15.0
12,1.0,0.5,1.1948051948051948,1.5,1.2207792207792207,1.0,1.0129870129870129,1.0,8.0,2.0,1.2857142857142858,1.4285714285714286,1.1688311688311688,16.0
13,1.0,0.5,1.3376623376623376,1.25,1.2337662337662338,0.75,1.1168831168831168,1.0,5.0,2.0,1.5844155844155845,1.3116883116883118,1.6233766233766234,18.0
14,1.0,1.0,2.103896103896104,0.0,0.7402597402597403,0.0,1.8831168831168832,1.0,11.0,1.0,1.2307692307692308,1.4102564102564104,1.0256410256410255,2.0
15,1.0,0.0,0.8974358974358975,3.0,1.6153846153846154,1.0,1.1794871794871795,1.0,14.0,3.0,1.2727272727272727,1.2727272727272727,1.1168831168831168,13.0
16,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,19.0,0.0,2.3376623376623376,0.5974025974025974,1.9350649350649352,9.0
17,2.0,1.5,0.8974358974358975,1.0,1.6923076923076923,1.0,1.0256410256410255,1.0,12.0,1.5,1.2987012987012987,1.3896103896103895,1.4675324675324675,7.0
18,2.0,0.0,1.0129870129870129,2.75,1.4675324675324675,0.5,0.922077922077922,1.0,10.0,3.0,2.220779220779221,0.6623376623376623,1.7532467532467533,6.0
19,2.0,0.0,1.1428571428571428,0.0,1.2467532467532467,0.0,0.9090909090909091,1.0,3.0,0.0,0.0,2.0,0.0,17.0
20,2.0,2.0,2.1153846153846154,0.75,0.7307692307692307,2.25,1.9102564102564104,1.0,6.0,0.5,1.564102564102564,1.3205128205128205,1.6153846153846154,18.0
21,2.0,0.5,1.2179487179487178,1.75,1.205128205128205,1.0,1.0384615384615385,1.0,3.0,2.0,2.230769230769231,0.6666666666666666,1.7692307692307692,4.0
22,1.0,0.0,1.5,0.0,1.0,0.0,0.5,1.0,12.0,0.0,1.6794871794871795,0.9743589743589743,1.4487179487179487,15.0
23,2.0,0.25,1.358974358974359,2.0,1.2307692307692308,0.25,1.1282051282051282,1.0,5.0,2.5,1.3205128205128205,1.3846153846153846,1.5128205128205128,2.0
24,1.0,2.5,2.0641025641025643,0.25,0.9102564102564102,1.75,1.9487179487179487,1.0,1.0,0.25,1.2564102564102564,1.2692307692307692,1.1025641025641026,16.0
25,0.0,0.0,0.95,0.0,1.575,0.0,1.175,1.0,10.0,0.0,1.2,1.475,1.0,14.0
26,1.0,0.5,0.875,1.0,1.775,0.5,1.025,1.0,19.0,2.0,1.0,1.435897435897436,1.0128205128205128,17.0
27,1.0,0.0,1.3846153846153846,0.0,1.3461538461538463,0.0,1.3461538461538463,1.0,8.0,0.0,1.5,1.0,0.5,13.0
28,1.0,1.0,1.0,1.0,1.4871794871794872,0.75,0.9230769230769231,1.0,11.0,1.75,1.2692307692307692,1.4487179487179487,1.1538461538461537,20.0
29,2.0,0.0,1.1282051282051282,2.25,1.2435897435897436,0.25,0.8974358974358975,1.0,7.0,3.0,2.3076923076923075,0.6025641025641025,1.9102564102564104,9.0
30,1.0,1.0,1.5822784810126582,1.5,1.3164556962025316,1.0,1.6329113924050633,1.0,13.0,1.75,1.2025316455696202,1.2151898734177216,1.0253164556962024,6.0
31,1.0,2.25,1.6582278481012658,0.75,0.9746835443037974,2.0,1.4303797468354431,1.0,16.0,0.75,1.1139240506329113,1.2911392405063291,0.8860759493670886,17.0
32,2.0,1.0,1.240506329113924,2.25,1.3037974683544304,0.75,1.1012658227848102,1.0,19.0,1.75,1.4050632911392404,1.3291139240506329,1.3417721518987342,7.0
33,1.0,1.25,2.3164556962025316,1.25,0.5949367088607594,1.25,1.9493670886075949,1.0,4.0,1.25,2.0759493670886076,0.9113924050632911,1.9746835443037976,1.0
34,0.0,0.25,1.2531645569620253,2.0,1.4556962025316456,0.75,1.1518987341772151,1.0,20.0,2.5,1.3417721518987342,1.240506329113924,1.1265822784810127,5.0
35,2.0,0.0,0.9873417721518988,3.0,1.4303797468354431,0.25,1.0,1.0,18.0,3.0,2.088607594936709,0.759493670886076,1.8987341772151898,12.0
36,1.0,1.5,1.1951219512195121,1.0,1.4390243902439024,0.5,0.975609756097561,1.0,11.0,1.5,1.0253164556962024,1.481012658227848,0.9367088607594937,8.0
37,1.0,0.0,1.3417721518987342,3.5,1.379746835443038,1.5,1.518987341772152,1.0,2.0,3.0,0.9512195121951219,1.5365853658536586,1.146341463414634,10.0
38,0.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,1.0,14.0,0.0,0.926829268292683,1.7317073170731707,1.024390243902439,15.0
39,1.0,0.0,2.240506329113924,0.0,0.6582278481012658,0.0,1.7721518987341771,1.0,3.0,0.0,2.0,0.6666666666666666,0.6666666666666666,9.0
40,1.0,0.75,1.1875,1.5,1.225,0.25,1.0125,1.0,10.0,2.25,1.675,0.975,1.4375,12.0
41,2.0,0.0,0.9285714285714286,3.5,1.5476190476190477,1.0,1.1428571428571428,1.0,14.0,3.0,1.6,1.3,1.6375,9.0
42,2.0,0.5,1.3625,1.75,1.375,0.75,1.525,1.0,2.0,2.0,2.325,0.6,1.95,4.0
43,1.0,0.0,1.25,0.0,1.4375,0.0,1.1375,1.0,18.0,0.0,1.0,1.0,0.5,15.0
44,1.0,0.0,2.1,0.0,0.775,0.0,1.9125,1.0,8.0,0.0,1.5,1.25,0.5,13.0
45,1.0,0.75,1.425,1.5,1.3125,1.0,1.3375,1.0,5.0,2.25,2.05,0.925,1.9625,3.0
46,2.0,2.25,1.225,0.75,1.3,1.5,1.0875,1.0,20.0,0.75,0.975,1.45,1.0125,19.0
47,2.0,0.0,1.2380952380952381,2.0,1.4047619047619047,0.5,0.9761904761904762,1.0,7.0,3.0,2.25,0.65,1.7875,1.0
48,1.0,3.0,1.0125,0.5,1.475,2.5,0.925,1.0,11.0,0.0,0.9285714285714286,1.7142857142857142,1.0238095238095237,16.0
49,1.0,1.0,1.1,1.0,1.3,0.75,0.8875,1.0,17.0,1.75,1.3375,1.225,1.1125,6.0
50,1.0,1.25,2.259259259259259,1.5,0.654320987654321,1.75,1.7901234567901234,1.0,1.0,1.25,1.345679012345679,1.3950617283950617,1.5185185185185186,3.0
51,1.0,0.75,1.654320987654321,1.0,0.9876543209876543,0.75,1.4320987654320987,1.0,12.0,1.5,1.271604938271605,1.4320987654320987,1.1604938271604939,16.0
52,1.0,0.0,0.8,0.0,1.4,0.0,0.6,1.0,17.0,0.0,1.2098765432098766,1.2222222222222223,1.0246913580246915,9.0
53,1.0,1.5,2.3333333333333335,0.75,0.6049382716049383,1.0,1.962962962962963,1.0,2.0,1.5,1.4444444444444444,1.3209876543209877,1.3703703703703705,4.0
54,2.0,1.0,1.3209876543209877,1.75,1.2222222222222223,0.25,1.0987654320987654,1.0,10.0,1.75,2.111111111111111,0.7654320987654321,1.9382716049382716,6.0
